district,district_census_code,state,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,rural_BMI_show,rural_BP_show,rural_SUG_show,rural_ALL_show
Tiruchirappalli,614,Tamil Nadu,20.2,22.8,8.399999999999999,6.9,4.8,7.5,yes,no,no,no
Tirunelveli,628,Tamil Nadu,27.5,26.0,12.8,9.4,7.3,5.7,yes,yes,yes,yes
Tiruppur,633,Tamil Nadu,32.4,27.8,21.1,7.5,6.0,5.4,yes,no,no,no
Tiruvannamalai,606,Tamil Nadu,29.8,26.1,7.9,6.6,12.0,5.4,yes,no,yes,no
Tonk,120,Rajasthan,9.1,7.4,12.1,2.6,10.4,2.8,no,no,no,no
Tuensang,267,Nagaland,7.0,4.8,17.9,12.0,15.5,7.5,no,yes,yes,no
Tumkur,571,Karnataka,16.8,17.3,15.5,8.700000000000001,6.6,5.6,yes,yes,no,no
Udaipur,130,Rajasthan,8.3,5.0,9.8,5.200000000000001,7.9,2.4,no,no,no,no
Udalguri,326,Assam,12.3,9.4,29.5,16.099999999999998,7.5,3.3,no,yes,no,no
Udham Singh Nagar,67,Uttarakhand,12.8,20.1,17.9,12.1,11.8,6.7,yes,yes,yes,yes
Udhampur,19,Jammu & Kashmir,12.6,16.4,5.5,7.0,1.5,3.0,yes,no,no,no
Udupi,569,Karnataka,17.7,19.0,20.9,10.8,7.8,5.4,yes,yes,yes,yes
Ujjain,435,Madhya Pradesh,6.6,10.2,9.8,8.4,6.1,6.9,no,no,no,no
Ukhrul,279,Manipur,4.5,10.5,13.0,11.2,3.7,4.6,no,yes,no,no
Umaria,431,Madhya Pradesh,1.6,6.2,8.0,8.100000000000001,1.6,4.2,no,no,no,no
Una,29,Himachal Pradesh,24.3,37.3,24.4,13.4,7.6,8.7,yes,yes,yes,yes
Unnao,156,Uttar Pradesh,6.6,11.0,6.300000000000002,5.1,4.6,2.7,no,no,no,no
Upper Siang,252,Arunachal Pradesh,35.1,19.2,17.4,18.4,13.4,6.7,yes,yes,yes,yes
Upper Subansiri,249,Arunachal Pradesh,14.4,14.1,31.1,20.3,7.6,5.1,yes,yes,yes,yes
Uttar Bastar Kanker,413,Chhattisgarh,10.7,7.1,13.7,7.7,12.7,6.3,no,no,yes,no
Uttar Dinajpur,330,West Bengal,7.9,8.6,16.4,12.0,6.8,5.1,no,yes,no,no
Uttara Kannada,563,Karnataka,5.0,15.7,17.7,12.3,9.9,5.8,no,yes,yes,no
Uttarkashi,56,Uttarakhand,7.5,10.3,7.0,6.3,10.4,4.3,no,no,no,no
Vadodara,486,Gujarat,12.9,14.1,13.8,11.9,6.1,5.1,yes,yes,no,no
Vaishali,220,Bihar,11.4,12.6,9.7,5.199999999999998,5.4,3.3,no,no,no,no
Valsad,491,Gujarat,17.4,20.1,9.9,11.3,7.6,5.6,yes,no,yes,no
Varanasi,197,Uttar Pradesh,12.2,13.2,5.6,4.8,1.6,3.8,no,no,no,no
Vellore,605,Tamil Nadu,26.1,34.6,6.4,4.6000000000000005,11.6,9.3,yes,no,yes,no
Vidisha,443,Madhya Pradesh,4.6,11.1,6.2,12.2,9.0,7.9,no,no,yes,no
Viluppuram,607,Tamil Nadu,33.4,23.0,14.6,6.1,13.4,5.5,yes,no,yes,no
Virudhunagar,625,Tamil Nadu,15.1,22.9,27.6,7.3,9.9,9.0,yes,no,yes,no
Visakhapatnam,544,Andhra Pradesh,14.8,15.3,14.3,8.7,12.3,4.0,yes,yes,no,no
Vizianagaram,543,Andhra Pradesh,28.0,16.0,19.4,7.8,8.7,6.1,yes,no,yes,no
Warangal,540,Telangana,23.9,18.7,13.6,8.5,7.8,4.9,yes,yes,no,no
Wardha,504,Maharashtra,13.2,11.8,9.3,9.3,1.6,4.3,no,no,no,no
Washim,502,Maharashtra,11.3,8.8,15.8,7.3,7.9,3.4,no,no,no,no
Wayanad,590,Kerala,32.9,23.7,17.599999999999994,9.5,20.4,11.5,yes,yes,yes,yes
West,96,NCT Delhi,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
West District,242,Sikkim,29.3,22.0,24.1,13.6,9.3,7.0,yes,yes,yes,yes
West Garo Hills,293,Meghalaya,12.9,10.4,9.2,12.4,7.6,3.5,no,no,no,no
West Godavari,546,Andhra Pradesh,39.5,36.9,18.7,10.6,6.7,6.1,yes,yes,no,no
West Kameng,246,Arunachal Pradesh,15.1,29.2,31.4,22.8,3.7,3.4,yes,yes,no,no
West Khasi Hills,296,Meghalaya,8.9,7.7,6.200000000000001,7.8,3.3,2.9,no,no,no,no
West Siang,250,Arunachal Pradesh,16.7,19.9,34.3,24.8,5.0,5.0,yes,yes,no,no
West Tripura,289,Tripura,18.4,14.2,19.7,16.1,11.4,7.7,yes,yes,yes,yes
Wokha,264,Nagaland,11.8,8.1,12.7,13.000000000000002,14.7,10.7,no,yes,yes,no
Y.S.R. Cuddapah,551,Andhra Pradesh,32.0,19.6,18.1,6.7,19.0,7.3,yes,no,yes,no
Yadgir,580,Karnataka,9.2,9.3,7.7,4.5,9.2,7.3,no,no,yes,no
Yamunanagar,71,Haryana,19.2,17.9,20.3,10.2,7.6,4.9,yes,yes,no,no
Yanam,634,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Yavatmal,510,Maharashtra,12.7,10.6,6.2,6.999999999999999,4.3,4.1,no,no,no,no
Zunheboto,263,Nagaland,7.8,16.8,14.5,14.3,4.5,9.6,no,yes,no,no
PoK,0,Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
